,article_id,event,slant,title,url,extractor_name,entity_list,prompt,model,temperature,llm_cache_key,generated_at,framing_output
0,8879fe902e330e0b86605b4a75c24b4c,bad_bunny,center,"What Bad Bunny, Green Day, And Others Will Earn Performing At Super Bowl 60",https://www.forbes.com/sites/maurybrown/2026/02/08/what-bad-bunny-green-day-and-others-will-earn-performing-at-super-bowl-60/,hero_villain_victim,"['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']","You are a text annotation assistant. Identify the hero, villain, and victim in the text. Only choose from the provided entity list. If a role is absent, return 'None' for that role.

Entity list: ['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']

Text:
REDACTED",gpt-5.4-mini,,6e0ce433adaf8633271a883e0b22cc55,2026-06-02T20:05:55.799459+00:00,"{'hero': 'NFL', 'villain': 'None', 'victim': 'Bad Bunny'}"
1,3ad0a2991f28cc7191ff26ad2a3414de,bad_bunny,center,Bad Bunny named Super Bowl performer after omitting US from world tour over ICE fears,https://thehill.com/blogs/in-the-know/5526875-bad-bunny-super-bowl-halftime/,hero_villain_victim,"['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']","You are a text annotation assistant. Identify the hero, villain, and victim in the text. Only choose from the provided entity list. If a role is absent, return 'None' for that role.

Entity list: ['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']

Text:
REDACTED",gpt-5.4-mini,,7e499472ff7146b921c2de9ae773b650,2026-06-02T20:05:57.037076+00:00,"{'hero': 'Bad Bunny', 'villain': 'Donald Trump', 'victim': 'Latinx Americans'}"
2,aff5b5524e80f6a554fbaa3993cd2fef,bad_bunny,center,What Did Bad Bunny's Halftime Show Mean? Every Cultural Reference Broken Down,https://www.forbes.com/sites/hannahabraham/2026/02/08/what-did-bad-bunnys-halftime-show-mean-every-cultural-reference-broken-down/,hero_villain_victim,"['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']","You are a text annotation assistant. Identify the hero, villain, and victim in the text. Only choose from the provided entity list. If a role is absent, return 'None' for that role.

Entity list: ['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']

Text:
REDACTED",gpt-5.4-mini,,8e2de4601f0fbecfa92d92f11e505571,2026-06-02T20:06:00.012486+00:00,"{'hero': 'Bad Bunny', 'villain': 'None', 'victim': 'Latinx Americans'}"
3,13a0cfbe516263b7f30cae6d211fe443,bad_bunny,center,Trump slams Bad Bunny’s Super Bowl halftime performance as ‘one of the worst’,https://thehill.com/homenews/5729125-trump-slams-bad-bunny-super-bowl/,hero_villain_victim,"['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']","You are a text annotation assistant. Identify the hero, villain, and victim in the text. Only choose from the provided entity list. If a role is absent, return 'None' for that role.

Entity list: ['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']

Text:
REDACTED",gpt-5.4-mini,,3e658cf1f540b25fecc7e5364ef5b360,2026-06-02T20:06:01.140012+00:00,"{'hero': 'Bad Bunny', 'villain': 'Donald Trump', 'victim': 'Bad Bunny'}"
4,2cbf9c3772a5c06d5aa09214ec243bf0,bad_bunny,center,"Bad Bunny show caused spike in Spanish lessons, Duolingo says",https://thehill.com/blogs/in-the-know/5730109-bad-bunny-show-spike-spanish-duolingo/,hero_villain_victim,"['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']","You are a text annotation assistant. Identify the hero, villain, and victim in the text. Only choose from the provided entity list. If a role is absent, return 'None' for that role.

Entity list: ['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']

Text:
REDACTED",gpt-5.4-mini,,2f5e673c95fa9e00a32c362d3f299ec8,2026-06-02T20:06:01.971119+00:00,"{'hero': 'Bad Bunny', 'villain': 'None', 'victim': 'Superbowl viewers'}"
5,bed5c9b7f6643f843e76a41a6800dcb3,bad_bunny,center,"ICE officers to attend Super Bowl after Bad Bunny announcement, Lewandowski says",https://thehill.com/homenews/administration/5534003-bad-bunny-to-headline/,hero_villain_victim,"['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']","You are a text annotation assistant. Identify the hero, villain, and victim in the text. Only choose from the provided entity list. If a role is absent, return 'None' for that role.

Entity list: ['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']

Text:
REDACTED",gpt-5.4-mini,,7f03ba046fa338a4bdce0c4ef3240f47,2026-06-02T20:06:03.794238+00:00,"{'hero': 'Bad Bunny', 'villain': 'Donald Trump', 'victim': 'Superbowl viewers'}"
6,258a868b3e587f7e31646fab3749117f,bad_bunny,center,Bad Bunny Skipped the States on Tour. Now He’s Playing the Super Bowl.,https://www.wsj.com/arts-culture/music/bad-bunny-headline-super-bowl-lx-halftime-nfl-580ae8e1,hero_villain_victim,"['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']","You are a text annotation assistant. Identify the hero, villain, and victim in the text. Only choose from the provided entity list. If a role is absent, return 'None' for that role.

Entity list: ['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']

Text:
REDACTED",gpt-5.4-mini,,c4f9299e2fd4499784f0c1c7ca8e9c0c,2026-06-02T20:06:04.906062+00:00,"{'hero': 'Bad Bunny', 'villain': 'None', 'victim': 'None'}"
7,c3dec2c6ac1a27b193eba2e0305da25b,bad_bunny,center,Americans prefer to watch Bad Bunny halftime show over Kid Rock’s: Poll,https://thehill.com/blogs/in-the-know/5728286-halftime-show-poll-results/,hero_villain_victim,"['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']","You are a text annotation assistant. Identify the hero, villain, and victim in the text. Only choose from the provided entity list. If a role is absent, return 'None' for that role.

Entity list: ['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']

Text:
REDACTED",gpt-5.4-mini,,e447e7139bd9d1a5977dc5ea0bd8a973,2026-06-02T20:06:05.792899+00:00,"{'hero': 'Bad Bunny', 'villain': 'Donald Trump', 'victim': 'Latinx Americans'}"
8,837da92b1d51172b5e10192b917b6417,bad_bunny,center,Bad Bunny Boosts Super Bowl LX To Record 137.8 Million Viewers At Peak,https://www.forbes.com/sites/martineparis/2026/02/10/bad-bunny-scores-as-super-bowl-lx-draws-1249-million-viewers/,hero_villain_victim,"['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']","You are a text annotation assistant. Identify the hero, villain, and victim in the text. Only choose from the provided entity list. If a role is absent, return 'None' for that role.

Entity list: ['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']

Text:
REDACTED",gpt-5.4-mini,,d5867658b795f2609baffe94d9728177,2026-06-02T20:06:06.684606+00:00,"{'hero': 'Bad Bunny', 'villain': 'None', 'victim': 'Superbowl viewers'}"
9,9f8a10683140e08440878c425b06c63e,bad_bunny,center,Bad Bunny’s Super Bowl Marketing Campaign Is Already Stealing The Show,https://www.forbes.com/sites/oliviashalhoup/2026/01/19/bad-bunnys-super-bowl-marketing-campaign-is-already-stealing-the-show/,hero_villain_victim,"['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']","You are a text annotation assistant. Identify the hero, villain, and victim in the text. Only choose from the provided entity list. If a role is absent, return 'None' for that role.

Entity list: ['Bad Bunny', 'Latinx Americans', 'Donald Trump', 'Republicans', 'NFL', 'Superbowl viewers']

Text:
REDACTED",gpt-5.4-mini,,41d060517f97712b807bdb38de5647bf,2026-06-02T20:06:07.609550+00:00,"{'hero': 'Bad Bunny', 'villain': 'None', 'victim': 'Superbowl viewers'}"
