,article_id,event,slant,title,body,url,source
0,8879fe902e330e0b86605b4a75c24b4c,bad_bunny,center,"What Bad Bunny, Green Day, And Others Will Earn Performing At Super Bowl 60",REDACTED,https://www.forbes.com/sites/maurybrown/2026/02/08/what-bad-bunny-green-day-and-others-will-earn-performing-at-super-bowl-60/,forbes
1,3ad0a2991f28cc7191ff26ad2a3414de,bad_bunny,center,Bad Bunny named Super Bowl performer after omitting US from world tour over ICE fears,REDACTED,https://thehill.com/blogs/in-the-know/5526875-bad-bunny-super-bowl-halftime/,thehill
2,aff5b5524e80f6a554fbaa3993cd2fef,bad_bunny,center,What Did Bad Bunny's Halftime Show Mean? Every Cultural Reference Broken Down,REDACTED,https://www.forbes.com/sites/hannahabraham/2026/02/08/what-did-bad-bunnys-halftime-show-mean-every-cultural-reference-broken-down/,forbes
3,13a0cfbe516263b7f30cae6d211fe443,bad_bunny,center,Trump slams Bad Bunny’s Super Bowl halftime performance as ‘one of the worst’,REDACTED,https://thehill.com/homenews/5729125-trump-slams-bad-bunny-super-bowl/,thehill
4,2cbf9c3772a5c06d5aa09214ec243bf0,bad_bunny,center,"Bad Bunny show caused spike in Spanish lessons, Duolingo says",REDACTED,https://thehill.com/blogs/in-the-know/5730109-bad-bunny-show-spike-spanish-duolingo/,thehill
5,bed5c9b7f6643f843e76a41a6800dcb3,bad_bunny,center,"ICE officers to attend Super Bowl after Bad Bunny announcement, Lewandowski says",REDACTED,https://thehill.com/homenews/administration/5534003-bad-bunny-to-headline/,thehill
6,258a868b3e587f7e31646fab3749117f,bad_bunny,center,Bad Bunny Skipped the States on Tour. Now He’s Playing the Super Bowl.,REDACTED,https://www.wsj.com/arts-culture/music/bad-bunny-headline-super-bowl-lx-halftime-nfl-580ae8e1,wsj
7,c3dec2c6ac1a27b193eba2e0305da25b,bad_bunny,center,Americans prefer to watch Bad Bunny halftime show over Kid Rock’s: Poll,REDACTED,https://thehill.com/blogs/in-the-know/5728286-halftime-show-poll-results/,thehill
8,837da92b1d51172b5e10192b917b6417,bad_bunny,center,Bad Bunny Boosts Super Bowl LX To Record 137.8 Million Viewers At Peak,REDACTED,https://www.forbes.com/sites/martineparis/2026/02/10/bad-bunny-scores-as-super-bowl-lx-draws-1249-million-viewers/,forbes
9,9f8a10683140e08440878c425b06c63e,bad_bunny,center,Bad Bunny’s Super Bowl Marketing Campaign Is Already Stealing The Show,REDACTED,https://www.forbes.com/sites/oliviashalhoup/2026/01/19/bad-bunnys-super-bowl-marketing-campaign-is-already-stealing-the-show/,forbes
10,98164cf3fbac5fb301c82c024b36b144,bad_bunny,center,Bad Bunny says he's losing sleep over the Super Bowl,REDACTED,https://www.bbc.com/news/articles/clyzwd2n75no,bbc
11,183dde5b9bbfb34aab0df7209afbba67,bad_bunny,center,"White House: ‘No tangible plan’ for ICE at Super Bowl, where Bad Bunny will perform",REDACTED,https://thehill.com/blogs/in-the-know/5537460-white-house-bad-bunny-super-bowl-ice-raids/,thehill
12,0a570b03faf56d56242d62729eaea3bc,bad_bunny,center,Who was the young boy in Bad Bunny’s halftime show?,REDACTED,https://thehill.com/homenews/nexstar_media_wire/5729180-who-was-the-young-boy-in-bad-bunnys-halftime-show/,thehill
